time,open,high,low,close,volume
1782826500000,58350.5,58406.1,58210.2,58329.4,1977.514
1782826800000,58329.4,58558.2,58322.3,58535.1,1883.647
1782827100000,58535.0,58584.7,58431.4,58480.1,1286.213
1782827400000,58480.0,58791.7,58475.0,58644.7,2314.364
1782827700000,58644.8,58721.8,58565.6,58711.9,1153.29
1782828000000,58711.8,59264.4,58627.6,58993.0,7193.029
1782828300000,58993.0,59037.0,58920.2,58955.3,1317.833
1782828600000,58955.4,59023.0,58818.5,58971.7,1487.938
1782828900000,58971.7,59015.4,58858.0,58937.2,975.912
1782829200000,58937.1,59125.4,58892.9,59017.1,1420.316
1782829500000,59017.1,59080.0,58966.6,59014.2,786.927
1782829800000,59014.1,59079.8,58869.9,58981.6,1756.114
1782830100000,58981.5,58985.9,58550.0,58666.7,2812.977
1782830400000,58666.7,58911.1,58614.9,58894.8,1457.063
1782830700000,58894.8,58894.8,58565.0,58616.0,1040.01
1782831000000,58616.1,58680.3,58462.6,58482.6,1175.812
1782831300000,58482.7,58586.1,58400.1,58458.6,1621.761
1782831600000,58458.7,58579.4,58275.0,58288.0,2141.007
1782831900000,58287.9,58371.0,58171.0,58315.8,2882.236
1782832200000,58315.7,58460.0,58288.0,58419.9,1189.318
1782832500000,58420.0,58449.2,58160.0,58332.1,3764.753
1782832800000,58332.1,58418.3,58284.6,58393.1,987.957
1782833100000,58393.2,58452.4,58335.1,58359.3,1026.631
1782833400000,58359.4,58435.5,58352.4,58401.6,705.557
1782833700000,58401.6,58413.4,58232.0,58305.4,563.274
1782834000000,58305.4,58479.6,58300.0,58415.2,689.011
1782834300000,58415.2,58785.6,58415.2,58541.1,2806.233
1782834600000,58541.2,58589.4,58473.4,58482.0,473.409
1782834900000,58482.0,58567.3,58318.2,58356.2,903.838
1782835200000,58356.2,58458.0,58330.8,58428.9,592.936
1782835500000,58428.8,58617.4,58404.8,58556.7,975.22
1782835800000,58556.5,58589.4,58371.2,58383.2,491.471
1782836100000,58383.2,58453.6,58288.6,58396.1,999.926
1782836400000,58396.1,58405.2,58294.4,58294.4,558.797
1782836700000,58294.4,58300.5,58223.3,58293.7,784.326
1782837000000,58293.7,58388.8,58232.3,58374.1,717.162
1782837300000,58374.2,58460.9,58266.2,58460.8,530.765
1782837600000,58460.7,58460.9,58273.9,58307.1,512.939
1782837900000,58307.2,58414.7,58307.2,58398.5,415.606
1782838200000,58398.4,58531.1,58365.0,58502.2,571.929
1782838500000,58502.1,58555.3,58408.8,58479.3,661.823
1782838800000,58479.2,58550.7,58423.2,58521.2,339.69
1782839100000,58521.3,58604.8,58480.0,58517.4,647.271
1782839400000,58517.4,58517.5,58364.0,58387.9,430.41
1782839700000,58387.9,58462.2,58361.1,58436.5,420.057
1782840000000,58436.5,58464.9,58349.9,58383.1,332.494
1782840300000,58383.1,58416.1,58341.6,58372.4,279.995
1782840600000,58372.5,58439.5,58311.0,58387.7,428.578
1782840900000,58387.8,58433.6,58326.0,58329.1,350.127
1782841200000,58329.1,58399.9,58329.1,58355.5,191.971
1782841500000,58355.5,58355.5,58290.0,58295.9,367.093
1782841800000,58295.9,58383.3,58295.0,58378.2,239.087
1782842100000,58378.2,58410.8,58355.0,58396.7,225.413
1782842400000,58396.8,58463.0,58353.2,58367.8,465.353
1782842700000,58367.8,58456.4,58334.0,58456.1,212.675
1782843000000,58456.2,58476.7,58407.6,58451.8,189.184
1782843300000,58451.8,58675.0,58412.6,58626.3,847.559
1782843600000,58626.4,58626.4,58410.0,58410.1,674.891
1782843900000,58410.0,58519.8,58401.4,58513.3,258.613
1782844200000,58513.3,58536.9,58440.0,58453.8,213.677
1782844500000,58453.8,58475.6,58368.5,58388.9,318.517
1782844800000,58388.9,58437.5,58358.1,58436.4,330.29
1782845100000,58436.4,58600.1,58436.4,58600.1,283.5
1782845400000,58600.0,58652.3,58561.2,58620.6,604.71
1782845700000,58620.6,58667.1,58604.0,58659.8,293.281
1782846000000,58659.9,58722.4,58602.6,58629.1,745.015
1782846300000,58629.1,58680.3,58566.3,58663.3,321.756
1782846600000,58663.3,58663.3,58574.9,58633.0,209.462
1782846900000,58633.0,58650.0,58577.3,58630.9,384.186
1782847200000,58631.0,58632.6,58560.0,58585.5,268.14
1782847500000,58585.5,58649.4,58568.3,58649.4,206.014
1782847800000,58649.3,58760.0,58634.3,58754.2,642.497
1782848100000,58754.1,58797.3,58710.5,58723.2,446.495
1782848400000,58723.2,58746.9,58668.6,58734.2,316.373
1782848700000,58734.2,58819.9,58693.7,58796.2,363.897
1782849000000,58796.1,58796.2,58668.9,58731.1,441.241
1782849300000,58731.1,58808.5,58726.0,58794.4,425.686
1782849600000,58794.0,58810.2,58712.5,58793.5,422.737
1782849900000,58793.5,58818.7,58743.9,58818.7,279.552
1782850200000,58818.7,58850.0,58771.5,58838.4,385.716
